Accession Abbreviation,Stock Number,Latitude of Origin,Longitude of Origin,Fitness in Norwich Autumn,Fitness in Halle Autumn,Fitness in Valencia Autumn,Fitness in Norwich Spring,Fitness in Norwich Summer,Fitness in Oulu Autumn,Fitness in Halle 2007,Fitness in Valencia 2007,Year Collected (TAIR),Likely Year Collected,Time period
M3385S,cs6183,59.33,18.06,1733.048,8053.663333,850.2666667,86.39857143,42.64,1312.013333,NA,NA,2002,,
Sorbo,cs931,38.35,68.48,0,17263.08333,5342.655,2736.171429,1760.775,NA,NA,NA,,,
Utrecht,cs6150,52.09,5.12,12347.18,27280.55333,5489.653333,6677.642857,2910.375,NA,NA,NA,2003,,
Br-0Ê,cs6626,49.19,16.61,77,48743.07333,7512.3125,1872.714286,2069.598333,904.9214286,18926.6,1278.166667,,,
Cen-0,cs6661,49.18,-0.36,24.96,20534.655,7296.204,7031.742857,3802.378333,NA,NA,NA,,,
Cha-0,cs6662,46.03,7.12,2057.16,6580.6525,7627.68,1443.25,395.6916667,NA,NA,NA,,,
Edi-0,cs6688,55.95,-3.19,163.2,42989.31,8461.98,2819.715714,6106.06,2544.073333,NA,NA,,,
Ei-2,cs6689,50.25,6.67,618,21328.85,9393,3734.577143,3706.486667,NA,NA,NA,,,
Ei-4 ,cs6690,50.25,6.67,921.63,13288.76,3919.6,4448.925714,3644.043333,NA,NA,NA,,,
Ei-6 ,cs6692,50.25,6.67,739.36,38148.1,6285.25,5099.027143,1421.266667,1764.507143,22573.01667,6423.777778,,,
Hi-0,cs6736,52.22,5.17,4694.7,36593.46,4418.08,3188.367143,3038.38,NA,NA,NA,,,
Ko-2,cs6763,55.68,12.57,710.854,7026.075,2324.6,782.5083333,NA,NA,NA,NA,,,
Ko-3,N1290,55.3,11.75,3805.572,13368.17333,2816.908,918.4833333,0,3193.823077,NA,NA,,,
Le-0,cs6770,52.16,4.49,23729.98,45187.1825,10282.545,8947.645714,5483.575,NA,NA,NA,,,
Mh-1,cs6793,53.52,20.2,2241.47,29232.56,12040.61333,7269.838571,4748.086667,NA,NA,NA,,,
Ms-0,cs6797,55.76,37.62,94.5,11257.44,6889.8,3701.321429,3292.031667,NA,NA,NA,,,
Pf-0,cs6831,48.55,9.11,5950.6,25071.53667,10824.94,6869.638571,2872.658333,NA,NA,NA,,,
Wil-2,cs6889,54.69,25.28,1774.77,14609.98,2492.9,5108.428571,4059.666667,NA,NA,NA,,,
