idPot,idAccession,LifeCycleDuration,Final_rosetteDM,FruitNumber,LogisticCoeff_A,LogisticCoeff_B,LogisticCoeff_tinf,Minf,GRinf,RGRinf
599,6958,56,377.4,220,377.4,4.345766271,27.98365528,5.92558125,21.71078565,115.054508
6,9758,49,130.11,104,130.11,3.198111825,21.59943864,3.370854649,10.1708451,156.3422505
60,9409,53,330.06,146,330.06,4.443432091,29.72969436,3.847244496,18.57010489,112.525631
600,5818,53,297.01,171,297.01,4.390687146,27.93189858,4.918441113,16.91136206,113.8773917
601,9665,59,549.09,209,549.09,4.61629227,31.1921338,5.514835416,29.73652706,108.3120328
602,10010,52,355.46,120,355.46,4.211404661,27.52059678,5.461131743,21.10103568,118.7252331
603,6922,56,242.85,221,242.85,3.960723329,24.07531644,6.756494676,15.32863948,126.2395675
604,7199,51,92.18,151,92.18,3.618935733,21.346732,3.841260593,6.367894237,138.1621661
605,5890,58,231.2,178,231.2,4.875424118,30.43571566,3.444218094,11.85537885,102.5551804
608,9534,42,144.84,132,144.84,2.991420602,21.39403186,3.141800738,12.10461678,167.1446669
609,9640,66,827.95,85,827.95,4.248393064,32.42850112,4.197878033,48.72136285,117.6915583
61,6903,54,249.99,196,249.99,3.964383882,24.90848651,5.684889678,15.76474475,126.1230029
610,9954,68,763.72,101,763.72,4.600257578,33.5432893,4.546738813,41.5041977,108.6895661
611,9654,53,150.57,188,150.57,4.841009393,26.63732118,4.692751992,7.775754381,103.2842449
612,7028,49,199.94,209,199.94,3.763329767,24.59766519,4.049657643,13.28212065,132.8610648
613,7273,45,200.6,109,200.6,2.683040497,20.37706575,4.108136296,18.69148082,186.355741
614,9988,68,1647.48,41,1647.48,3.205647461,28.67753864,4.843365388,128.4826248,155.9747309
615,6195,60,405.1,133,405.1,5.015541683,31.04413283,6.00986709,20.19223573,99.69012952
62,7203,56,209.54,NA,209.54,NA,NA,NA,13.37472617,127.6579763
622,6151,87,1418.43,43,1418.43,5.35109327,41.39386821,4.005482939,66.26823382,93.43884974
623,6932,57,213.56,170,213.56,3.666781271,24.55465263,3.958563292,14.56045399,136.3593744
624,9404,71,1080.98,101,1080.98,3.597837855,28.54870471,6.198814207,75.1131682,138.9723551
625,6937,62,504.51,248,504.51,5.190232164,32.32890831,6.739841538,24.30093607,96.33480435
626,9521,63,748.17,261,748.17,4.504933351,32.48718541,5.048943563,41.51948219,110.9894334
629,NA,47,307.35,189,307.35,NA,NA,NA,19.27737117,125.4424673
63,6981,34,97.67,NA,97.67,NA,NA,NA,7.669474062,157.0487163
630,9650,56,371.6,131,371.6,3.937089035,26.2462303,5.902343562,23.59611357,126.997382
631,6209,90,1041.57,126,1041.57,6.109979579,42.96920673,4.702054967,42.61757288,81.83333406
632,7287,59,948.53,176,948.53,4.140667135,31.60299841,5.115274958,57.26915308,120.7534882
633,9816,58,252.46,261,252.46,5.283468294,29.88223787,5.727064239,11.94575163,94.63480657
635,5276,58,461.44,154,461.44,3.469231138,27.00245411,3.407610455,33.25232463,144.1241532
636,9972,47,197.76,190,197.76,4.195872927,25.45909149,4.844744693,11.78300698,119.1647146
638,6981,37,84.58,188,84.58,4.012947848,20.44839461,5.827778154,5.269193819,124.5966852
639,8266,126,2414.04,57,2414.04,4.728401115,41.30664896,3.211524628,127.6351108,105.74399
64,NA,54,435.24,249,435.24,NA,NA,NA,27.71297995,127.34574
643,9977,59,388.36,148,388.36,4.492335702,30.08933233,4.387061081,21.61236524,111.3006759
644,7002,62,655.54,190,655.54,4.660751292,32.92741585,4.753722801,35.16278594,107.2788417
645,9741,64,755.73,201,755.73,4.978969604,32.68932454,7.847645421,37.94610432,100.4223845
646,9973,59,251.51,294,251.51,4.618401996,28.65263427,4.354689199,13.6145576,108.262555
