Genotype table stem mean_rank Seed Long_Stamens Short_Stamens Petal_Area Petal_Length Petal_Width Sepal_Area Sepal_Length Sepal_Width Leaf_Area Leaf_Length Leaf_Width j.semis j.transplantation j.fleur1 j.recolte j.death flowering_time life_span
2057 3 principal 15 59.5159282385746 2.86235524974382 2.30846468541169 2.05051012038567 3.05354598917353 1.1884700119383 1.21202372713915 1.92399543296867 0.842143570466085 62.4693750523318 18.6696435704077 7.44921978804503 371 407 475 482 NA 104 NA
2171 2 secondary 9 52.8713773420452 2.53931754539393 1.6493261633218 1.96253621678286 3.2611063022601 1.13886045190524 1.22453794636231 1.96886109964543 0.833303673839323 23.9465250703071 10.4635264155456 5.52350460299977 370 407 489 498 NA 119 NA
2278 1 principal 15 76.1078566567248 2.44969274124588 2.28470911880977 1.12220667086459 2.52851204516223 0.798165608646842 0.880262189291022 2.00395334345891 0.605799790687889 34.2908101765428 13.2615966206668 5.62763804553775 370 407 447 454 NA 77 NA
2317 2 principal 11 61.2632055072062 2.25886363960076 1.29630584323988 0.967989378761602 2.49201582420698 0.789318618314707 0.91923305298465 1.86898771143136 0.681535985434523 44.3112802746486 14.9452541150438 6.50503793513809 370 407 448 457 NA 78 NA
4779 3 principal 19 54.1334387461347 2.29459884093487 2.08958156426144 1.52126102623778 2.65476165471988 1.08537082017863 1.07425100356158 1.81647890047085 0.807631584452094 48.3449201733733 12.7623888947511 6.8665082921234 370 408 455 465 NA 85 NA
4807 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 78.7186201158814 17.6499459897648 8.74293702041046 370 408 NA NA 503 NA 133
4884 1 principal 18 64.5709895373949 2.16818793463917 1.76329677794709 1.06476985025367 2.610986294322 0.833528714827087 0.738057646607841 1.50681594408555 0.661040801177396 28.667719017324 10.6999056139243 5.57285442359652 370 408 455 463 NA 85 NA
4958 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 18.5900552400925 8.49489904002381 4.15535527790317 370 408 503 NA 503 133 133
5104 2 principal 12 71.4175831340963 2.76319537073186 2.65350172961899 1.76992710522463 3.17900724059357 1.00335632037479 1.10891487209026 2.0206085783069 0.727532988931025 24.8829165549089 9.15669044612965 4.93711006115768 370 408 455 465 NA 85 NA
5151 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 44.0156201158814 14.9459459897648 5.91193702041046 370 408 498 NA 503 128 133
5165 3 principal 13 53.2071729847945 1.87910845414829 1.43107291265347 0.750884667459619 1.82531315640036 0.780394607818137 0.63541008892794 1.38525369921758 0.630149563473081 47.5711024918111 13.163770908236 6.78507553600585 370 408 476 491 NA 106 NA
5210 2 principal 11 47.2632055072062 2.41136363960076 1.75497250990655 1.4824893787616 2.89676582420698 1.02856861831471 0.94773305298465 1.80423771143136 0.717535985434523 33.2772802746486 13.2642541150438 5.58403793513809 370 408 483 490 NA 113 NA
5349 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 47.0910704592397 12.4373018587442 7.19304367158188 370 408 500 NA 503 130 133
5353 1 both 7.113786609 68.5223967874605 2.79562906741295 2.55588755867288 1.76322459821602 3.11795347142438 1.05476103347511 1.1390536810974 2.18460653471697 0.738321827880161 52.7389702735492 15.3468499519002 6.67576415681102 371 408 447 456 NA 76 NA
5486 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 17.7870704592397 8.08430185874425 4.10804367158188 370 408 476 NA 503 106 133
5577 2 principal 15 64.8807160147664 2.66685723079182 2.56158938875631 1.55424028461371 3.01523148975334 1.02896942655503 0.999210329407075 2.19722117893354 0.610773999420532 37.4378253956901 14.5369994393872 5.79532643921646 370 408 461 468 NA 91 NA
5644 1 secondary 4 57.9689626880188 2.61258994631519 2.2709460176809 1.81186023080082 3.00479283845096 1.04464462698186 0.938569997171935 1.8253924291232 0.706372390180897 49.6880463329208 14.8465875201192 6.7546916320068 370 408 449 462 NA 79 NA
5741 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 41.0630552400925 12.0248990400238 6.76735527790317 371 407 NA NA 503 NA 132
5768 1 principal 11 56.4903461491647 2.81219915005483 2.64412557329334 2.75320576501248 3.73904637961588 1.44726480040652 1.4795349128686 2.23296987595673 0.860561776701881 36.2282650555014 9.39885129632335 6.54734954145939 371 407 471 477 NA 100 NA
5772 2 both 10.66666667 57.991863371044 3.08508359268306 3.13552608383688 2.71787938722279 3.5776158194582 1.32083357560635 1.27077499451059 2.19704847974076 0.792769457007869 30.7122115662798 10.6511351885221 5.5058517804149 371 408 461 464 NA 90 NA
5784 3 principal 15 52.5159282385746 3.04440524974382 2.57446468541169 3.95226012038567 4.35804598917353 1.6374700119383 1.82602372713915 2.58824543296867 0.922143570466085 73.2323750523318 17.8006435704077 8.34421978804503 371 408 470 470 NA 99 NA
5800 1 principal 13 52.7991014029447 2.76169594565036 2.25331734605156 1.73708121793854 3.03727921238906 1.05084020452668 1.09614855107981 1.97596160970782 0.724555783694885 68.6885376160221 20.3347239584951 7.68149379349857 371 408 441 447 NA 70 NA
5811 3 principal 15 52.5159282385746 2.67160524974382 2.48221468541169 1.83401012038567 3.03179598917353 1.1482200119383 0.945023727139153 1.72274543296867 0.710643570466085 69.3323750523318 16.8986435704077 8.10921978804503 371 407 454 461 NA 83 NA
5831 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 46.2316201158814 12.4679459897648 7.04293702041046 371 407 489 NA 503 118 132
5832 2 principal 15 57.8807160147664 2.72385723079182 2.30108938875631 2.47174028461371 3.52548148975333 1.09521942655503 1.30271032940707 2.17622117893354 0.790773999420532 40.3158253956901 10.7419994393872 6.31732643921646 371 407 475 482 NA 104 NA
5836 1 principal 13 NA NA NA NA NA NA NA NA NA 32.0275376160221 11.8937239584951 5.39949379349857 371 407 468 472 NA 97 NA
5856 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 43.9250552400925 13.1298990400238 6.44935527790317 370 407 496 NA 503 126 133
5860 2 unknown 14.3417265892009 61.5302270581049 3.19906997009272 2.74519635325114 3.22921374991441 4.3996808541735 1.31907461120186 1.31912718992322 2.23774014357028 0.77872730864144 62.9140704592397 17.2193018587443 7.07404367158188 370 407 489 499 NA 119 NA
5867 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 35.9780704592397 10.7173018587442 6.13104367158188 371 408 NA NA 503 NA 132
5893 2 principal 14 61.7263383878763 2.73485883299405 2.5338935023772 1.89055255815069 3.01849007336675 1.19218172449495 1.05127851030147 1.76360031205799 0.752526995924029 72.4571891154297 15.3225631083014 8.84925431319686 371 407 461 465 NA 90 NA
5907 1 principal 12 59.6447237760547 2.72069754785259 2.53712145967245 1.44439349147551 2.77203779600247 0.915802502466598 0.983466731974203 1.88909074283227 0.755558780198383 30.5229013357617 11.4122876274092 5.64042166747898 371 407 443 448 NA 72 NA
5950 3 principal 17 57.8246834923546 1.79010204533935 1.4888564581699 1.94663557331173 2.79552882194671 1.12354541605846 1.23688736535037 2.02148716671976 0.80238757745909 36.2666476128526 10.2305162325794 6.41436404008422 371 408 458 465 NA 87 NA
5984 2 principal 12 57.4175831340963 2.77786203739852 2.30150172961899 1.61247710522463 3.11130724059357 1.00420632037479 0.941164872090256 1.9056085783069 0.692782988931025 39.2249165549089 11.9676904461297 5.95611006115768 371 408 447 451 NA 76 NA
6008 2 principal 12 66.4175831340963 2.7555287040652 2.40116839628566 1.81492710522463 3.27900724059357 1.10235632037479 1.05066487209026 2.0393585783069 0.685782988931025 34.8749165549089 10.3396904461297 5.60711006115768 371 408 444 450 NA 73 NA
6009 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 48.3500552400925 14.9398990400238 6.24935527790317 370 407 NA NA 503 NA 133
6010 2 principal 15 NA NA NA NA NA NA NA NA NA 42.65682539569 12.1449994393872 6.44432643921646 370 407 478 489 NA 108 NA
6011 3 principal 13 NA NA NA NA NA NA NA NA NA 79.8431024918111 16.922770908236 8.34507553600585 371 408 469 475 NA 98 NA
6012 3 principal 15 NA NA NA NA NA NA NA NA NA 39.3133750523318 13.4006435704077 5.79421978804503 371 407 483 492 NA 112 NA
6013 1 principal 11 NA NA NA NA NA NA NA NA NA 79.9402650555014 19.1008512963234 7.84834954145939 371 407 468 472 NA 97 NA
6017 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 24.7776201158814 10.9689459897647 4.60993702041046 370 408 504 NA 503 134 133
6020 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 32.6290704592397 10.2903018587442 6.13104367158188 370 408 504 NA 503 134 133
6023 2 principal 17 63.1894712685464 2.91015402638734 1.36098116151452 2.75311573753977 3.83521432252651 1.3082948306752 1.41582396761829 2.42546291268463 0.755268006413536 46.9830979562108 12.7078721015589 6.57047069125564 370 408 475 482 NA 105 NA
6025 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 31.4540704592397 11.4063018587442 6.11204367158188 370 407 503 NA 503 133 133
6030 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 42.8040552400925 11.9778990400238 5.98935527790317 370 408 NA NA 503 NA 133
6036 2 principal 12 NA NA NA NA NA NA NA NA NA 37.2059165549089 11.7266904461297 5.77611006115768 370 408 475 479 NA 105 NA
6038 2 principal 16 54.0350936416564 2.49060562858958 1.81028527513542 1.73442801107674 2.80372290613992 1.09050712861511 0.973392148512681 1.83584204580908 0.718021002917034 36.8764616759504 10.2444357704731 6.25839856523605 370 408 478 489 NA 108 NA
6039 2 principal 14 56.7263383878763 2.89135883299405 2.3978935023772 2.93380255815068 3.57624007336675 1.47893172449495 1.18477851030147 2.14935031205799 0.738776995924029 61.7771891154297 15.6895631083014 7.88925431319686 370 408 456 462 NA 86 NA
6040 1 principal 12 NA NA NA NA NA NA NA NA NA 39.1759013357617 13.3802876274092 6.13042166747898 370 408 475 478 NA 105 NA
6041 1 principal 16 55.2622342836148 2.79389113904365 1.76190500518888 1.82064439732762 3.36600346154882 1.07095331070692 1.16644400839663 2.07957421033445 0.747546794184391 42.4394464568032 10.9510329517526 6.53771017155734 370 408 470 476 NA 100 NA
6042 3 principal 20 67.2878163730247 2.67759723873264 2.07994411730722 1.62294875270081 3.09175307110647 0.989658522238708 1.07443282266718 1.92284976734639 0.755878587948596 34.1655564536337 11.178825225837 5.97358041814299 370 408 449 461 NA 79 NA
6043 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 48.2050704592397 14.4163018587442 6.58904367158188 370 407 NA NA 503 NA 133
6064 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 51.9630552400925 12.9138990400238 7.08135527790317 370 407 503 NA 503 133 133
6069 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 67.6136201158814 19.5329459897647 7.21393702041046 370 407 490 NA 503 120 133
6070 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 70.3476201158814 16.1299459897647 7.97093702041046 370 407 496 NA 503 126 133
6071 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 19.6920704592397 7.93030185874425 4.41004367158188 370 407 504 NA 503 134 133
6073 3 principal 16 54.6703058654646 2.61377031420825 2.17732723845746 2.3696978468487 3.38803740556012 1.28725771399838 1.30895554624476 2.06586629984421 0.841390573962587 50.4270113325922 14.3160799014936 6.83529191406462 370 407 482 489 NA 112 NA
6074 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 48.5390552400925 15.3518990400238 5.92535527790317 370 407 NA NA 503 NA 133
6076 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 29.5280704592397 13.0213018587442 5.09404367158188 370 408 NA NA 503 NA 133
6077 1 principal 12 NA NA NA NA NA NA NA NA NA 49.8489013357617 12.8892876274092 6.71942166747898 370 407 472 479 NA 102 NA
6085 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 32.6120704592397 11.9873018587442 5.41004367158188 370 407 493 NA 503 123 133
6086 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 40.4840552400925 14.3938990400238 6.43035527790317 370 407 504 NA 503 134 133
6087 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 28.8290552400925 10.5458990400238 5.17135527790317 370 407 505 NA 503 135 133
6091 3 principal 13 NA NA NA NA NA NA NA NA NA 49.9011024918111 14.144770908236 6.72307553600585 371 407 475 484 NA 104 NA
6092 3 principal 16 59.6703058654646 2.66110364754158 1.93366057179079 2.2651978468487 3.38178740556012 1.23225771399838 1.18070554624476 1.97286629984421 0.786890573962587 36.0650113325922 13.0980799014936 5.56929191406462 370 407 485 497 NA 115 NA
6094 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 35.5496201158814 12.6059459897648 6.03093702041046 370 407 499 NA 503 129 133
6095 1 principal 19 70.7253671642849 2.91718633243694 2.8954926643262 3.9502075767167 4.37722771070859 1.53206641688717 1.53690613238012 2.26443681096109 0.903787804673898 41.4953552975843 15.8363419450102 6.17092654961611 371 407 469 477 NA 98 NA
6096 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 40.2146201158814 11.6689459897648 6.31793702041046 371 407 505 NA 503 134 132
6097 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 47.1170704592397 13.4653018587442 6.48404367158188 370 407 NA NA 503 NA 133
6099 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 75.8330704592397 19.5193018587442 7.73604367158188 370 407 NA NA 503 NA 133
6100 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 62.0520704592397 16.1653018587442 7.42304367158188 370 407 489 NA 503 119 133
6101 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 21.0850552400925 9.20589904002381 4.45735527790318 371 407 NA NA 503 NA 132
6102 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 28.3340552400925 10.0458990400238 5.36635527790317 370 407 NA NA 503 NA 133
6104 3 principal 13 NA NA NA NA NA NA NA NA NA 50.4111024918111 12.100770908236 7.03307553600585 370 407 471 479 NA 101 NA
6105 3 principal 11 62.8984177310144 3.2519449918861 2.92701447322859 3.01825921453356 3.90208032362718 1.33756920369797 1.39704645071673 2.27301196546649 0.811405556480077 51.3098299312903 13.6178982460643 7.36693128396667 370 407 486 491 NA 116 NA
6106 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 66.7406201158814 18.7919459897647 6.24593702041046 370 407 490 NA 503 120 133
6107 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 36.1060704592397 12.5223018587442 5.87404367158188 370 407 NA NA 503 NA 133
6109 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 41.0190552400925 14.1738990400238 6.24135527790317 370 407 506 NA 503 136 133
6111 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 22.2630552400925 11.4578990400238 4.16135527790317 370 407 NA NA 503 NA 133
6112 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 50.1770704592397 13.2003018587442 7.13704367158188 370 407 486 NA 503 116 133
6115 2 principal 11 57.2632055072062 2.49486363960076 1.93030584323988 2.40640604542827 3.72776582420698 1.23240195164804 1.13781638631798 1.98990437809803 0.71870265210119 26.8112802746486 11.0302541150438 5.15103793513809 370 408 484 491 NA 114 NA
6118 2 principal 13 NA NA NA NA NA NA NA NA NA 42.4325528351693 12.9841267772155 6.79218218717727 370 408 477 483 NA 107 NA
6119 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 27.5480552400925 9.86789904002381 5.27435527790318 370 407 496 NA 503 126 133
6122 3 principal 19 68.1334387461347 3.06159884093487 2.50991489759478 1.94226102623778 3.69701165471988 1.01512082017863 1.28475100356158 2.22472890047085 0.753381584452094 34.8919201733733 11.3283888947511 5.7695082921234 370 408 479 490 NA 109 NA
6123 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 36.0890552400925 12.0078990400238 6.01535527790318 370 407 492 NA 503 122 133
6125 3 principal 15 47.5159282385746 2.83910524974382 2.09396468541169 2.70851012038567 3.80054598917353 1.2567200119383 1.28477372713915 2.07849543296867 0.845893570466085 44.5273750523318 13.4296435704077 6.24521978804503 370 407 484 493 NA 114 NA
6126 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 47.3026201158814 11.8079459897648 7.33093702041046 370 407 NA NA 503 NA 133
6131 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 41.9006201158814 12.9499459897647 6.04293702041046 370 407 NA NA 503 NA 133
6133 3 principal 23 58.7509492536948 3.78059243212593 3.50069844311121 3.4997619320899 3.84172732026623 1.56902162841895 1.708228279984 2.41921236797303 0.979619598438102 40.1624652944148 10.1991342190946 6.50379679620176 370 408 468 477 NA 98 NA
6134 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 37.7830704592397 13.6083018587442 5.70304367158188 370 408 NA NA 503 NA 133
6136 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 14.8300704592397 6.99230185874425 3.84904367158188 370 408 489 NA 503 119 133
6137 3 secondary 2 68.3252121514747 3.03535721100001 1.74830163400508 1.89230673142873 3.48958917477504 0.999934227467238 1.33358361139034 2.26545418461391 0.77562333998878 35.8988258014142 11.2066200391778 5.92562354358839 370 408 482 498 NA 112 NA
6141 3 principal 20 62.2878163730247 2.66343057206597 2.20844411730722 1.56419875270081 3.26100307110647 0.829158522238708 0.979682822667184 1.99859976734639 0.694378587948596 43.6845564536337 14.526825225837 6.93058041814299 370 407 476 489 NA 106 NA
6145 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 37.7260704592397 12.9203018587442 5.60204367158188 370 408 NA NA 503 NA 133
6149 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 37.1856201158814 11.2729459897648 6.28393702041046 370 408 493 NA 503 123 133
6150 3 principal 16 NA NA NA NA NA NA NA NA NA 11.8870113325922 5.99607990149357 3.49529191406463 370 408 485 493 NA 115 NA
6172 3 principal 11 NA NA NA NA NA NA NA NA NA 24.4428299312903 9.3728982460643 5.03793128396667 370 408 490 498 NA 120 NA
6173 3 principal 13 47.2071729847945 2.57385845414829 2.00907291265348 1.77363466745962 3.25056315640035 1.02014460781814 0.94091008892794 1.83050369921758 0.722149563473081 35.1041024918111 12.816770908236 5.25907553600585 370 408 479 489 NA 109 NA
6174 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 24.4160704592397 9.09230185874425 4.58404367158188 370 407 NA NA 503 NA 133
6177 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 88.6796201158814 19.2269459897648 9.19293702041046 370 407 491 NA 503 121 133
6180 1 secondary 4 64.9689626880188 2.91745661298186 2.40627935101423 1.98411023080082 3.38654283845096 1.12214462698186 1.22596999717193 2.1113924291232 0.756722390180897 70.8610463329208 17.3025875201192 7.3246916320068 370 407 447 462 NA 77 NA
6184 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 53.7900552400925 11.8628990400238 7.19735527790318 370 407 478 NA NA 108 NA
6188 2 principal 15 53.8807160147664 2.45055723079182 2.17008938875631 3.06949028461371 3.59123148975333 1.37771942655503 1.28871032940707 2.27822117893354 0.754773999420532 40.6478253956901 12.3609994393872 6.35732643921646 370 408 451 461 NA 81 NA
6189 3 principal 22 56.5965716268048 2.76134403432816 1.35733589006544 2.20057420562687 3.55423590387965 1.18273392635887 1.1570464608784 2.11784150109749 0.7313725949416 54.9908290141544 16.4536978880087 7.27272467018217 370 408 469 475 NA 99 NA
6192 1 principal 22 58.188500044955 2.91128152583023 2.68308032346352 2.45502075610578 3.69470195986835 1.28767952306741 1.33853492303027 2.31054941158773 0.789778815163404 34.0442641383654 11.0566509382678 5.38814292767488 370 408 458 468 NA 88 NA
6193 1 unknown 14.3417265892009 66.7573677000633 2.68440548054679 2.43081608330461 3.33618013616528 3.6659614095824 1.47577079329367 1.50592904980717 2.25247230809566 0.889003099908797 41.7910552400925 11.2448990400238 6.47635527790318 370 408 461 468 NA 91 NA
6195 1 unknown 14.3417265892009 51.7573677000633 2.55515548054679 2.05631608330461 2.92743013616528 3.9477114095824 1.35977079329367 1.34967904980717 2.28372230809566 0.792003099908797 70.7510552400925 14.0828990400238 8.69535527790318 370 407 464 471 NA 94 NA
6201 1 principal 13 58.7991014029447 2.62419594565036 2.22291734605156 2.75458121793854 3.85302921238906 1.28034020452668 1.38614855107981 2.26946160970782 0.805305783694885 20.4305376160221 7.43072395849507 4.96549379349857 370 408 489 498 NA 119 NA
