0.1 0.05 0.025 0.01
flowering_time 0.864197530864197 0.493827160493827 0.987654320987654 2.46913580246914
Leaf_Area 1.96428571428571 3.57142857142857 7.14285714285714 10.7142857142857
Leaf_Length 1.47058823529412 1.17647058823529 2.35294117647059 0
Leaf_Width 1.66666666666667 2.91666666666667 5.83333333333333 12.5
Long_Stamens 0.5 1 0.666666666666667 0
Ovule_Number 0.217391304347826 0 0 0
Petal_Area 0.882352941176471 0.588235294117647 0.588235294117647 0
Petal_Length 0.588235294117647 0.588235294117647 1.17647058823529 0
Petal_Width 1.27272727272727 0.363636363636364 0 0
Sepal_Area 0.307692307692308 0 0 0
Sepal_Length 0.185185185185185 0 0 0
Sepal_Width 0.425531914893617 0.425531914893617 0.851063829787234 0
Short_Stamens 0.540540540540541 0 0 0
