NewLongitude	NewLatitude
-28.493698	38.526601
-25.1318264	16.96895448
-21.4104	64.6638
-17.98652	27.755481
-16.999351	32.778862
-16.966721	32.720352
-16.441198	28.346578
-15.422549	28.159615
-9.5	30.6
-9.1567	38.7542
-9.149401	53.115529
-8.9052	39.7575
-8.868057	42.532446
-8.7233402	29.7524609
-8.4223	38.0402
-7.6851	42.4182
-8.37557	39.550406
-8.550823	42.882344
-8.4239	41.238
-8.533465	37.300405
-8.350267	30.885371
-7.8904	52.5199
-7.794552	52.960784
-7.45	31.48
-7.454	39.414
-6.8498	38.5144
-6.532735531	42.41676515
-6.575	40.4879
-6.8239	55.1663
-6.569534	31.957867
-6.364728887	36.83671246
-6.329602	43.554922
-6.27629	53.382837
-6.000887	56.439198
-6.233	36.601
-6.22955	32.04208
-6.08949	53.19076
-6.1137	40.4841
-5.728	42.1299
-5.9829	42.9468
-5.681	39.887
-5.639246718	38.54870216
-5.51027	32.92735
-5.42698	35.4528
-5.224166667	50.23388889
-5.02369	35.04256
-4.6455	41.4722
-4.770472222	40.17616667
-4.1756	38.7099
-4.378572	50.391496
-4.10258	34.09166
-3.9633	42.7704
-3.97661612	42.6913231
-4.6861	32.4502
-4.6708	52.1044
-4.6	54.066667
-4.359065	53.164868
-4.319211	56.469346
-4.063	48.453
-4.05153	33.9561
-4.044042	57.581145
-3.5582	41.2389
-3.28	43.11
-2.78	37.92
-3.113502	51.06093
-3.093102857	39.5426321
-3.0497	42.7489
-3.521247	58.593598
-3.2414	37.2296
-2.9	54.7
-2.5172	51.8559
-3.235818	55.921616
-3.287041	57.60837
-2.8460728	47.5930844
-3.119375	59.016047
-3.0888	53.5724
-2.112144	54.972665
-1.991123	41.758543
-2.415232876	37.04478139
-2.38015	38.103421
-2.195892	49.206075
-1.297963	51.804336
-2.303114	47.518693
-1.396221	43.664734
-1.9877	51.1217
-1.711448322	39.995024
-2.055125	48.633024
-1.4	53.2
-1.784	41.464
-1.078372	52.599154
-0.435385	51.279343
-0.636414062	45.7556659
-0.76296	49.284214
-0.6172731	48.30459
-0.453	42.8678
-0.74536	47.00791
-0.6337376	35.697655
-0.3072	39.8813
-0.6298922	35.202225
-0.57918	44.837788
-0.2304	38.8546
-0.3706	40.2939
0.0014643	51.47691
0.019136	42.786404
0.23397446	48.006935
0.218	42.6334
1.041384	49.411811
0.290824	35.039026
0.523761	52.81502
0.616363	44.203142
0.667798	52.451592
1.058142	41.070282
1.009976	45.83189
2.2844	45.919
1.590228	52.525954
1.3220322	35.367355
2.18	48.71
1.898488998	47.26372014
1.4596496	44.37652
1.46	43.59
2.0025	42.5581
1.533802	49.104665
2.0911	41.4176
2.547678	49.227367
3.128874	42.48343
2.696	48.427
2.679338	47.383412
2.69522	43.910148
2.883333	36.75
2.873112	36.420603
2.9328024	45.511044
2.8431	39.8109
3.4453	51.2743
3.5812693	44.4942
3.6042	51.5279
4.313144	46.94012
4.3861	52.1578
4.3324	51.418
3.85	40
3.9595	43.6079
4.836639	49.911903
4.074401	48.297344
4.126635	36.468673
4.6243989	36.6307165
4.749	53.0768
4.828731	46.3068839
4.919523	61.565354
4.769102632	61.32206685
4.815205	45.178291
5.183	52.109
5.998	53.321
5.342296089	60.31592212
5.06	47.3
5.593898	62.191888
6.079027	49.905652
5.525150856	59.82202835
5.880982	45.234478
5.250429	45.72447
5.8977	50.7694
5.929326	43.16996
5.789810547	58.51034744
5.6977778	36.6333333
6.184417	48.692055
6.776852553	58.08021453
6.8538	52.3617
7.239955	62.058988
7.366869851	59.37456986
6.910611	43.451913
6.5868	53.1396
7.175858	44.070128
7.047738	62.963275
6.4918823	36.98458
6.753541954	61.12690188
6.6099	49.7166
7.229023	47.137177
6.768194	36.396667
6.996812	47.8845
7.2482	50.6822
7.0362944	46.2080025
7.546682779	59.03808588
8.351036588	61.90170118
8.445518	47.74542
7.77	46.07
8.183634487	58.18861353
7.6269	52.2577
7.665	50.321
8.2	49.95
8.694384954	60.67116548
8.414939	47.859534
8.260956	36.412674
8.219219	40.596657
8.731785	41.917537
8.830266	42.267971
9.99	53.55
8.8634	50.5065
8.76914	47.275408
8.931358504	58.50555992
9.317733	45.91387
9.679699461	59.92272185
8.8727	52.1787
8.981407	61.088023
9.716632	61.542275
9.342883	40.227617
9.159268	41.387179
9.503944	48.7979
9.676792	57.230128
9.986638517	62.75070687
9.661389	54.430278
10.00289589	61.55034552
10.72236537	59.32940975
10.04422998	58.99532398
10.832534	60.831838
10.0971	48.8367
10.53786	64.913521
10.126627	46.256678
10.609657	63.57431
